Article,Text
Artigo 10.º,"Independentemente das obras periódicas de  conservação a que se refere o artigo anterior, as câmaras municipais poderão,  em qualquer altura, determinar em edificações existentes, preced endo vistoria realizada nos termos do artigo 51.º, § 1.º, do Código Administrati vo, a execução de obras ne cessárias para corrigir mas condições de salubridade, solidez ou se gurança, contra o risco de incêndio.  § 1.º  As câmaras municipais compete ordena r, precedendo vistoria, a demolição total ou parcial das construções que amea cem ruína ou ofereçam perigo para a saúde pública. § 2.º  As deliberações tomadas pelas câ maras municipais em matéria de beneficiação extraordinária ou demolição  serão notificadas ao proprietário do prédio no prazo de três dias, a contar da aprovação da respectiva acta.  Revogado pelo Decreto-Lei n.º 555/99, de 16 de Dezembro, com as alterações introduzidas pelo Decreto-Lei n.º 177/2001,  de 4 de Junho  "
Artigo 11.º,"Poderão ser expropriadas as edificações que, em consequência de deliberação camarária baseada em prévia vistoria re alizada nos termos do § 1.º do artigo 51.º do Código Administ rativo, devam ser recons truídas, remodeladas, beneficiadas ou demolidas, total ou parc ialmente, para realização de plano de urbanização geral ou parcial aprovado.  "
Artigo 12.º,"A execução de pequenas obras de repara ção sanitária, como, por exemplo, as relativas a roturas, obstruções ou outr as formas de mau funcionamento, tanto das canalizações interiores e exteriores de águas e esgotos como das instalações sanitárias, a defici ências das coberturas e ao mau estado das fossas, será ordenada pelas câmaras municipais , independentemente de vistoria.  § único  Passa para as câmaras municipais a competência para a aplicação das penas previstas na lei pelo não cumprime nto das determinações a que este artigo se refere.  "
Artigo 13.º,"Quando determinadas obras forem impostas por um serviço público, a notificação ao interessado deverá ser feita por intermédio da respectiva câmara municipal. "
Artigo 14.º,"Artigo 14.º As obras executadas pelos serviços do es tado não carecem de licença municipal, mas deverão ser submetidas à prévia apreciação das respectivas câmaras municipais, a fim de se veri ficar a sua conformidade com o plano geral ou parcial de urbanização aprovado e com as pr escrições regulamentares aplicáveis.   TÍTULO II Condições gerais das edificações   CAPÍTULO I Generalidades  "
Artigo 15.º,"Todas as edificações, seja qual for a sua natureza, deverão ser construídas com perfeita observância das melhores normas  da arte de construir e com todos os requisitos necessários para que lhes fiqu em asseguradas, de modo duradouro, as condições de segurança, salubridade e estética mais adequadas à sua utilização e as funções educativas que devem exercer.  "
Artigo 16.º,"A qualidade, a natureza e o modo de aplicação dos materiais utilizados na construção das edificações deverão ser de molde que satisfaçam as condições estabelecidas no artigo anterior e as  especificações oficiais aplicáveis.  "
Artigo 17.º,A aplicação de novos materiais ou proce ssos de construção para os quais não existam especificações oficiais nem suficiente prática de utilização será condicionada ao prévio parecer do Labora tório de Engenharia Ci vil do Ministério das Obras Públicas.   CAPÍTULO II Fundações   
Artigo 18.º,"As fundações dos edifícios serão estabelecidas sobre terreno estável e suficientemente firme, por na tureza ou por consolidação artificial, para suportar com segurança as cargas que lhe sã o transmitidas pelos elementos da construção, nas condições de utilização mais desfavoráveis. "
Artigo 19.º,"Artigo 19.º Quando as condições do terreno e as ca racterísticas da edificação permitam a fundação contínua, observar-se- ão os seguintes preceitos:  1- Os caboucos penetrarão no terreno firme até à profundidade de 50 centímetros, pelo menos, excepto quando se trate de rocha dura, onde poderá ser menor. Esta profundidade deve, em todos os casos, ser suficiente para assegurar a distribuição quanto possível re gular das pressões na base do alicerce; 2- A espessura da base dos alicerces ou a largura das sapatas, quando requeridas, serão fixadas por forma que a pressão unitária no fundo dos caboucos não exceda a carga de segurança admi ssível para o terreno de fundação; 3- Os alicerces serão construídos de ta l arte que a humidade do terreno não se comunique as paredes da edificação, deve ndo, sempre que necessário, intercalar- se entre eles e as paredes uma camada hidrófuga. Na execução dos alicerces e das paredes até 50 centímetros acima do terreno exterior utilizar-se-á alvenaria hidráulica, resistente e impermeável, fabricada com materiais rijos e não porosos; 4- Nos alicerces constituídos por camadas de diferentes larguras a saliência de cada degrau, desde que o contrário não se justifique por cálculos de resistência, não excederá a sua altura.  "
Artigo 20.º,"Quando o terreno com as características requeridas esteja a profundidade que não permita fundação contínua, directam ente assente sobre ela, adoptar-se-ão processos especiais adequados de f undação, com observância, além das disposições aplicáveis do artigo anterior , de quaisquer prescr ições especialmente estabelecidas para garantir a segurança da construção.  "
Artigo 21.º,"As câmaras municipais, atendendo à natu reza, importância e demais condições particulares das obras, poderão exigir qu e do respectivo projecto conste, quer o estudo suficientemente pormenorizado do terreno de fundação, de forma a ficarem definidas com clareza as suas características, quer a justificação pormenorizada da solução prevista, ou ambas as coisas.  "
Artigo 22.º,"A compressão do terreno por meios mecâ nicos, a cravação de estacas ou qualquer outro processo de construi r as fundações por percussão deverão mencionar-se claramente nos projecto s, podendo as câmaras municipais condicionar, ou mesmo não autorizar, o seu uso sempre que possa afectar construções vizinhas.   CAPÍTULO III Paredes   "
Artigo 23.º,"As paredes das edificações serão constituíd as tendo em vista não só as exigências de segurança, como também as de salubr idade, especialmente no que respeita à protecção contra a humidade, as variações de temperatura e a propagação de ruídos e vibrações.  "
Artigo 24.º,"Na construção das paredes de edificações de carácter permanente utilizar-se-ão materiais adequados à natureza, importân cia, carácter, destino e localização dessas edificações, os quais devem ofer ecer, em todos os casos, suficientes condições de segurança e durabilidade.  "
Artigo 25.º,"Para as paredes das edificações corrent es destinadas a habitação, quando construídas de alvenaria de pedra ou de tijolo cerâmico maciço de 1.ª qualidade, com as dimensões de 0,23 m x 0, 11 m x 0,07 m, poderá considerar-se assegurada, sem outra justificação, a su a resistência, sem que se adoptem as espessuras mínimas fixada s na tabela seguinte.  § 1.º  Quando se empreguem tijolos de outras dimensões, admitir-se-á a tolerância até 10 por cento nas espessuras correspondentes as indicações da tabela para as paredes de tijolo. § 2.º  É permitido o emprego de alvenaria mi sta de tijolo maciço e furado nas paredes dos grupos A e B, nos dois andare s superiores das edificações, desde que os topos dos furos ou canais dos tijolo s não fiquem nos paramentos exteriores. § 3.º  É permitido o emprego de tijolo fura do nas paredes do grupo C nos dois andares superiores, nas do grupo D nos quatro andares superiores e nas do grupo e em todos os andares acima do terreno. § 4.º  É obrigatório o emprego de pedra rija  nas paredes de alvenaria de pedra irregular dos andares abaixo dos quatro superiores, sempre que se adoptem as espessuras mínimas fixadas. § 5.º  A alvenaria de pedra talhada (perpia nho ou semelhante) será constituída por paralelepípedos de pedra rija que abranja toda a espessura da parede.  "
Artigo 26.º,"As câmaras municipais só poderão autori zar, para as paredes das edificações correntes destinadas a habitação, constr uídas de alvenaria de pedra ou tijolo, espessuras inferiores aos mínimos fixados no artigo  anterior, desde que:  1- Sejam asseguradas ao mesmo tempo as  disposições porventura necessárias para que não resultem diminuídas as co ndições de salubridade da edificação, particularmente pelo que se refere à pr otecção contra a humidade, variações de temperatura e propagação de ruídos e vibrações; 2- Sejam justificadas as espessuras pr opostas, por ensaios em laboratórios oficiais ou por cálculos rigorosos em qu e se tenham em consideração a resistência verificada dos materiais empregados e as forcas actuantes, incluindo nestas não só as cargas verticais, como também a acção do vento, as componentes verticais e horizontais das forças oblíquas e as so licitações secundárias a que as paredes possam estar sujeitas por virtude de caus as exteriores ou dos sistemas de construção adoptados. § único  Poderá também exigir-se o cumprimento do prescrito no corpo deste artigo, quaisquer que sejam as espessura s propostas quando na construção das paredes se empreguem outros materiais ou elas tenham constituição especial.  "
Artigo 27.º,"A justificação da resistência das paredes poderá ainda ser exigida quando tenham alturas livres superiores a 3,50 m ou est ejam sujeitas a solicitações superiores às verificadas nas habitações correntes, particularmente quando a edificação se destine a fins susceptíveis de lhe impor sobrecargas superiores a 300 quilogramas por metro quadrado de pa vimento ou de a sujeitar a esforços dinâmicos consideráveis.  "
Artigo 28.º,"Nas edificações construídas com estrutur as independentes de betão armado ou metálicas, as espessuras das paredes de  simples preenchimento das malhas verticais das estruturas, quan do de alvenaria de pedra ou de tijolo, poderão ser reduzidas até aos valores mínimos de cada  grupo fixados no artigo 25.º, desde que o menor vão livre da parede entre os  elementos horizontai s ou verticais da estrutura não exceda 3,50m.  "
Artigo 29.º,"A construção das paredes das caves qu e ficarem em contacto com o terreno exterior obedecerá ao especificado  no número 3 do artigo 19.º deste regulamento. Nas caves consideradas habitáveis, quan do não se adoptem outras soluções comprovadamente equivalentes do ponto de  vista da salubridade da habitação, a espessura das paredes não poderá se r inferior a 60 centímetros e o seu paramento exterior será guarnecido até 20 centímetros acima do terreno exterior, com revestimento impermeável resistente , sem prejuízo de outras precauções consideradas necessárias para evitar a humidade no interior das habitações.  "
Artigo 30.º,"Todas as paredes em elevação, quando  não sejam construídas com material preparado para ficar à vista, serão guarnecidas, tanto interior como exteriormente, com revestimentos apro priados, de natureza, qualidade e espessura tais que, pela sua resist ência à acção do tempo, garantam a manutenção das condições iniciais de salubridade e bom aspecto da edificação.  § 1.º  Os revestimentos exteriores serão impermeáveis sempre que as paredes estejam expostas à acção frequente de ventos chuvosos. § 2.º  O revestimento exterior das parede s das mansardas ou das janelas de trapeira será de material impermeável, com reduzida condutibilidade calorífera e resistente a acção dos agentes atmosféricos e ao fogo.  "
Artigo 31.º,"As paredes das casas de banho, retretes , copas, cozinhas e locais de lavagem serão revestidas até, pelo menos, à altura de 1,50 m, com materiais impermeáveis de superfície aparente lisa e facilmente lavável.  "
Artigo 32.º,Os paramentos exteriores das fachadas que marginem as vias públicas mais importantes designadas em postura munici pal serão guarnecidos inferiormente de pedra aparelhada ou de outro material resi stente ao desgaste e fácil de conservar limpo e em bom estado. 
Artigo 33.º,"Artigo 33.º No guarnecimento dos vãos abertos em pa redes exteriores de alvenaria, quando não se empregar cantaria ou betão, utilizar-se-á pedra rija ou tijolo maciço e argamassa hidráulica. Para a fixação dos aros exteriores utilizar-se-á material resistente, com exclusão da madeira.  "
Artigo 34.º,Todas as cantarias aplicadas em guarne cimento de vãos ou revestimento de paredes serão ligadas ao material das mesmas paredes por processos que dêem suficiente garantia de solidez e duração.   CAPÍTULO IV Pavimentos e coberturas   
Artigo 35.º,"Na constituição dos pavimentos das ed ificações deve atender-se não só as exigências da segurança, como também as de salubridade e à defesa contra a propagação de ruídos e vibrações.  "
Artigo 36.º,"As estruturas dos pavimentos e cobertur as das edificações serão construídas de madeira, betão armado, aço e outros  materiais apropriados que possuam satisfatórias qualidades de resistência e duração. As secções transversais dos respectivos elementos serão justificadas  pelo cálculo ou por experiências, devendo atender-se, para este fim, à disposição daqueles elementos, à capacidade de resistência dos materiais empregados e as solicitações inerentes à utilização da estrutura.  "
Artigo 37.º,"Nos pavimentos de madeira das edificaçõe s correntes destinadas a habitação, as secções transversais das vigas poderão ser as justificadas pelo uso para idênticos vãos e cargas máximas, não sendo todavi a consentidas secções inferiores à de 0,16 m x 0,08 m, ou equivalente a esta em  resistência e rigidez. A este valor numérico corresponderá afastamento entre eixos não superior a 0,40m. As vigas serão convenientemente tarugadas, quando o vão for superior a 2,5m.  "
Artigo 38.º,"Nas coberturas das edificações correntes, com inclinação não inferior a 20 graus nem superior a 45 graus, apoiadas so bre estruturas de madeira, poderão empregar-se, sem outra justificação, as  secções mínimas seguintes ou suas equivalentes em resistênci a e rigidez, desde que não se excedam as distancias máximas indicadas.   Elementos da estrutura  distância máxima entre eixos   Metros  Secção mínima dos elementos altura por largura  Centímetros   Madres ............................................ Varas para telha tipo Marselha............ Varas para telha tipo Canudo.............. Ripas para telha tipo Marselha.............   2,00 0,50 0,40 Comprimento da telha 16 * 8 10 * 5 14 * 7 3 * 2,5   "
Artigo 39.º,"As estruturas das coberturas e pavime ntos serão devidamente assentes nos elementos de apoio e construídas de modo que estes elementos não fiquem sujeitos a esforços horizontais importante s, salvo se para lhes resistirem se tomarem disposições apropriadas.  § único  Quando se utilize madeira sem tratamento prévio adequado, os topos das vigas das estruturas dos pavimentos ou coberturas, introduzidas nas paredes de alvenaria, serão sempre protegidos com induto ou revestimento apropriados que impeçam o seu apodrecimento.  "
Artigo 40.º,"O pavimento dos andares térreos deve a ssentar sobre uma camada impermeável ou, quando a sua estrutura for de madeira,  ter caixa de ar com a altura mínima de 0,50 m e ventilada por circulação tran sversal de ar, assegurada por aberturas praticadas nas paredes. Destas abertura s, as situadas nas paredes exteriores terão dispositivos destinados a impedir,  tanto quanto possível, a passagem de objectos ou animais.  "
Artigo 41.º,"Os pavimentos das casas de banho, retretes , copas, cozinhas e outros locais onde forem de recear infiltrações serão asse ntes em estruturas imputrescíveis e constituídas por materiais impermeáveis apresentando uma supe rfície plana, lisa e facilmente lavável.  "
Artigo 42.º,"As coberturas das edificações serão co nstruídas com materiais impermeáveis, resistentes ao fogo e à acção dos agentes atmosféricos, e capazes de garantir o isolamento calorífico adequado ao fim a que se destina a edificação.  "
Artigo 43.º,"Nas coberturas de betão armado dispostas em terraços utilizar-se-ão materiais e processos de construção que assegurem a impermeabilidade daqueles e protejam a edificação das variações de temperatura exterior.  § 1.º  As lajes da cobertura serão construí das de forma que possam dilatar-se ou contrair-se sem originar impuls os consideráveis nas paredes. § 2.º  Tomar-se-ão as disposições nece ssárias para rápido e completo escoamento das águas pluviais e de lavagem, não podendo o declive das superfícies de escoamento se r inferior a 1 por cento.  "
Artigo 44.º,"Os algerozes dos telhados serão forrados com materiais apropriados para impedir infiltrações nas paredes. O forro deve ser prolongado sob o revestimento da cobertura, formando aba protectora, de la rgura variável com a área e inclinação do telhado, e nunca inferior a 25 centímetros. As dimensões dos algerozes serão proporcionadas à extensão da cobertura. O seu declive, no sentido longitudinal, será o suficiente para assegurar rápido escoamento das águas que receberem e nunca inferior a 2 milímetros por metro. A área útil da secção transversal será, pelo menos, de 2 centímetros quadrados por cada metro quadrado de su perfície coberta horizontal. Tomar-se-ão as disposições necessárias para assegurar, nas condições menos nocivas possível, a extravasão das águas dos algerozes, no ca so de entupimento acidental de um tubo de queda.   CAPÍTULO V Comunicações verticais  "
Artigo 46.º,"1- A largura dos lanços das escadas nas moradias unifamiliares será, no mínimo, de 0,80m. 2- Nas edificações para habitação colectiv a até dois pisos ou quatro habitações, servidas pela mesma escada, os lanços desta terão a largura mínima de 0,90 m. 3- Nas edificações para habitação colectiv a com mais de dois pisos ou com mais de quatro habitações, servidas pela mesma escada, os lanços terão a largura mínima de 1,10 m. 4- Nas edificações para habitação colectiv a ,  q u a n d o  o s  l a n ç o s  s e  s i t u e m  e n t r e paredes, a sua largura mínima será, nos casos referidos no n.° 2, de 1,10m e, nos casos do n.° 3, de 1,20 m. 5- Para edifícios que integrem um corpo de altura superior a 30 m, a largura mínima admissível das escadas é de 1,40m. 6- As larguras mínimas dos patamares para  onde se abrem as portas de acesso às habitações serão de 1,10 m, nos casos contemplados no n.° 2, de 1,40 m, nos casos referidos no n.° 3, e de  1,50m, nos casos do n.° 5. 7- Os degraus das escadas das edificações para habitação colectiva terão a largura (cobertor) mínima de 0,25 m e a altura (espelho) máxima de 0,193 m. No entanto, nos edifícios de três, quatro  ou cinco pisos e sempre que não seja instalado ascensor, a largura (cobertor)  mínima será de 0,280m e a altura (espelho) máxima será de 0,175m. As dimensões adoptadas manter-se-ão constantes nos lanços entre pisos consecutivos.  "
Artigo 47.º,"As escadas de acesso comum nas edific ações com mais de três pisos serão, sempre que possível, iluminadas e ventiladas por meio de aberturas praticadas nas paredes em comunicação directa com o exterior. Todavia, nos dois andares superiores destas edificações, bem como no seu conjunto nas edificações até três pisos, a iluminação e ventilação das esca das de acesso comum poderão fazer-se por clarabóias providas de ventiladores, devendo as escadas ter no seu eixo um espaço vazio com largura não inferior a 40 centímetros. Em todos os casos deverá ter-se em atenção o disposto no artigo 144.º.  "
Artigo 48.º,"Revogado pelo Decreto-Lei n. º 650/75, de 18 de Novembro  "
